Event,DoD,Phases,,,,,,,,Non-Tech,ATA
N,,,,,,,,,,,
NAV FM/GPS POSITION DISAGREE (Ref: NAV-03),1,,,3,4,5,6,,,,34
NAV GPS 1+2 FAULT (Ref: NAV-04),1,,,,4,5,,,,,34
NAV ISIS FAULT (ON APPROACH) (Ref: NAV-07),1,,,,,,6,,,,34
NAV ADR 1+3 FAULT (Ref: NAV-06),3,,2,3,4,5,6,,,,34
NAV LOC TRANSMITTER FAILURE (Ref: NAV-10),1,,,,,,6,,,,34
NAV TRANSMITTER FAULT GLIDE (Ref: NAV-09),1,,,,,,6,,,,34
NAV DUAL RA FAULT (Ref: NAV-08),2,,,,,,6,,,,34
NAV IR 1(2) FAULT (at VR) (Ref: NAV-01),2,,2,,,,,,,,34
NAV IRS ATT DISCREPANCY (ROLL) (Ref: NAV-05),2,,,3,4,5,6,,,,34
NAV PARTIAL PITOT BLOCKAGE (above FL250) (Ref: NAV-02),2,,,3,,,,,,,34
NAV ILS APP + MMR FAULT PF (Ref: NAV-11),2,,,,,,6,,,,34
O,,,,,,,,,,,
OXY CKPT BOTTLE PRESS LO (Ref: OXY-01),2,,,3,4,,,,,,35
S,,,,,,,,,,,
SMOKE AIR CONDITIONING – FAULT CLEARS (Ref: FIRE-03),2,,,3,4,5,,,,,26
SMOKE AFT CARGO (Ref: FIRE-02),3,,,3,4,5,,,,,26
SMOKE AFT GALLEY (Ref: MISC-07),2,,,3,4,,,,,,26
SMOKE AVNCS – FAULT CLEARS (Ref: FIRE-04),2,,,3,4,5,,,,,26
SMOKE AVNCS – FAULT DOESN’T CLEAR (Ref: FIRE-05),3,,,3,4,5,,,,,26
SMOKE AFT LAVATORY (Ref: FIRE-01),1,,,,4,,,,,,26
V,,,,,,,,,,,
VENT AVIONICS SYS FAULT (Ref: AIR-03),1,,,,,,,,,,21
,,,,,,,,,,,
